Index,Date,Open,High,Low,Close,Adj Close,Volume
0,11/18/13,518.393372,524.894897,515.135132,516.291321,516.291321,3515800
1,11/19/13,516.376404,517.892883,512.037048,513.113098,513.113098,2260900
2,11/20/13,515.490479,517.197205,510.690704,511.666656,511.666656,1925400
3,11/21/13,514.014038,519.674683,513.513489,517.552551,517.552551,2181400
4,11/22/13,517.227234,518.603577,515.125122,516.461487,516.461487,2505800
5,11/25/13,519.099121,527.122131,518.028015,523.488464,523.488464,3222700
6,11/26/13,524.824829,531.281311,521.992004,529.734741,529.734741,4568000
7,11/27/13,531.54657,534.534546,530.530518,532.087097,532.087097,2244900
8,11/29/13,531.611633,533.843872,530.255249,530.325317,530.325317,2383200
9,12/02/13,532.287292,533.708679,525.905884,527.767761,527.767761,2743600
10,12/03/13,526.000977,532.252258,525.035034,527.157166,527.157166,3348800
11,12/04/13,526.211182,532.522522,525.525513,529.619629,529.619629,2380800
12,12/05/13,529.12915,530.360352,526.071045,529.199219,529.199219,2265100
13,12/06/13,535.43042,535.535522,530.570557,535.470459,535.470459,2854700
14,12/09/13,536.031006,541.696716,534.544556,539.609619,539.609619,2962200
15,12/10/13,538.613586,546.701721,538.363342,542.872864,542.872864,3704000
16,12/11/13,544.244263,546.206177,538.123108,539.184204,539.184204,3420100
17,12/12/13,540.325317,542.012024,535.035034,535.515503,535.515503,3189800
18,12/13/13,538.23822,538.683655,529.474487,530.925903,530.925903,4320400
19,12/16/13,532.532532,537.882874,531.53656,537.027039,537.027039,3200700
20,12/17/13,536.94696,540.920898,534.724731,535.465454,535.465454,3068300
21,12/18/13,536.461487,543.018005,530.050049,542.917908,542.917908,4416100
22,12/19/13,540.925903,546.541565,540.080078,543.653625,543.653625,3328000
23,12/20/13,544.694702,551.136108,544.544556,550.86084,550.86084,6516600
24,12/23/13,554.474487,558.458435,553.113098,558.108093,558.108093,3439700
25,12/24/13,558.04303,558.178162,554.604614,556.476501,556.476501,1466900
26,12/26/13,557.562561,560.060059,554.899902,559.289307,559.289307,2672900
27,12/27/13,560.560547,560.700684,557.027039,559.759766,559.759766,3136200
28,12/30/13,560.730713,560.810791,555.065063,555.285278,555.285278,2469700
29,12/31/13,556.676697,561.061035,553.683655,560.915894,560.915894,2713000
30,01/02/14,558.288269,559.434448,554.684692,557.117126,557.117126,3639100
31,01/03/14,558.058044,559.024048,553.018005,553.05304,553.05304,3330000
32,01/06/14,557.062073,559.98999,553.773804,559.219238,559.219238,3535000
33,01/07/14,563.063049,570.415405,561.141113,570,570,5100000
34,01/08/14,573.573547,574.234253,567.212219,571.186157,571.186157,4480500
35,01/09/14,572.292297,572.682678,563.343323,565.685669,565.685669,4164800
36,01/10/14,570.110107,570.110107,561.686707,565.65564,565.65564,4282700
37,01/13/14,563.798828,574.029053,559.144165,562.052063,562.052063,4832900
38,01/14/14,569.544556,576.07605,564.609619,575.275269,575.275269,4960200
39,01/15/14,577.072083,578.078064,572.467468,574.884888,574.884888,3896400
40,01/16/14,575.125122,579.544556,574.574585,578.68866,578.68866,3364400
41,01/17/14,579.004028,580.895874,572.672668,575.84082,575.84082,5397100
42,01/21/14,581.046021,582.582581,576.226196,582.432434,582.432434,3955800
43,01/22/14,583.888916,584.529541,580.01001,583.093079,583.093079,3139600
44,01/23/14,580.580566,581.826843,577.762756,580.630615,580.630615,3894300
