Index,Date,Open,High,Low,Close,Adj Close,Volume
0,11/18/13,74.998573,75.312859,74.028572,74.089996,63.056896,61236000
1,11/19/13,74.147141,74.76857,73.995712,74.221428,63.168758,52234700
2,11/20/13,74.175713,74.345711,73.475716,73.571426,62.615551,48479200
3,11/21/13,73.942856,74.458572,73.381432,74.44857,63.362068,65506700
4,11/22/13,74.21714,74.594284,74.075714,74.257141,63.19915,55931400
5,11/25/13,74.431427,75.124283,74.428574,74.82,63.678181,57327900
6,11/26/13,74.874283,76.591431,74.85714,76.199997,64.852692,100345700
7,11/27/13,76.615715,78,76.199997,77.994286,66.379784,90862100
8,11/29/13,78.497147,79.761429,78.258568,79.438568,67.608986,79531900
9,12/02/13,79.714287,80.618568,78.688568,78.747147,67.020531,118136200
10,12/03/13,79.757141,80.91143,79.668571,80.902855,68.855217,112742000
11,12/04/13,80.785713,81.312859,80.117142,80.714287,68.694733,94452400
12,12/05/13,81.807144,82.162857,80.915718,81.128571,69.047333,111895000
13,12/06/13,80.827141,80.964287,79.938568,80.002853,68.089241,86088100
14,12/09/13,80.128571,81.368568,80.128571,80.918571,68.868599,80123400
15,12/10/13,80.511429,81.125717,80.171425,80.792854,68.761612,69567400
16,12/11/13,81,81.567146,79.955711,80.194283,68.252151,89929700
17,12/12/13,80.305717,80.762856,80.004288,80.077141,68.152473,65572500
18,12/13/13,80.407143,80.41143,79.095711,79.204285,67.409607,83205500
19,12/16/13,79.288574,80.377144,79.28714,79.64286,67.782852,70648200
20,12/17/13,79.401428,79.919998,79.054283,79.284286,67.477669,57475600
21,12/18/13,78.528572,78.778572,76.971428,78.681427,66.9646,141465800
22,12/19/13,78.5,78.571426,77.675713,77.779999,66.19738,80077200
23,12/20/13,77.918571,78.80143,77.831429,78.431427,66.751823,109103400
24,12/23/13,81.14286,81.531425,80.394287,81.441429,69.313591,125326600
25,12/24/13,81.412857,81.697144,80.861427,81.095711,69.019356,41888700
26,12/26/13,81.157143,81.35714,80.482857,80.557144,68.560997,51002000
27,12/27/13,80.545715,80.629997,79.928574,80.012856,68.097748,56471100
28,12/30/13,79.637146,80.012856,78.902855,79.21714,67.420517,63407400
29,12/31/13,79.167145,80.182854,79.14286,80.145714,68.210831,55771100
30,01/02/14,79.382858,79.575714,78.860001,79.01857,67.251503,58671200
31,01/03/14,78.980003,79.099998,77.204285,77.28286,65.7743,98116900
32,01/06/14,76.778572,78.114288,76.228569,77.704285,66.132957,103152700
33,01/07/14,77.760002,77.994286,76.845711,77.148575,65.660004,79302300
34,01/08/14,76.972855,77.937141,76.955711,77.637146,66.075813,64632400
35,01/09/14,78.114288,78.122856,76.478569,76.645714,65.232025,69787200
36,01/10/14,77.118568,77.257141,75.872856,76.134285,64.796753,76244000
37,01/13/14,75.701431,77.5,75.697144,76.53286,65.135979,94623200
38,01/14/14,76.888573,78.104286,76.808571,78.055717,66.43206,83140400
39,01/15/14,79.074287,80.028572,78.808571,79.622856,67.765808,97909700
40,01/16/14,79.271431,79.550003,78.811432,79.178574,67.387703,57319500
41,01/17/14,78.78286,78.867142,77.128571,77.238571,65.736603,106684900
42,01/21/14,77.284286,78.581429,77.202858,78.438568,66.757919,82131700
43,01/22/14,78.701431,79.612854,78.258568,78.78714,67.054565,94996300
44,01/23/14,78.562859,79.5,77.830002,79.454285,67.622375,100809800
45,01/24/14,79.14286,79.374283,77.821426,78.010002,66.393143,107338700
46,01/27/14,78.581429,79.257141,77.964287,78.64286,66.931786,138719700
47,01/28/14,72.68,73.571426,71.724289,72.35714,61.582092,266380800
48,01/29/14,71.992859,72.48143,71.23143,71.535713,60.88298,125702500
