Index,Date,Open,High,Low,Close,Adj Close,Volume
0,12/12/80,0.513393,0.515625,0.513393,0.513393,0.023106,117258400
1,12/15/80,0.488839,0.488839,0.486607,0.486607,0.0219,43971200
2,12/16/80,0.453125,0.453125,0.450893,0.450893,0.020293,26432000
3,12/17/80,0.462054,0.464286,0.462054,0.462054,0.020795,21610400
4,12/18/80,0.475446,0.477679,0.475446,0.475446,0.021398,18362400
5,12/19/80,0.504464,0.506696,0.504464,0.504464,0.022704,12157600
6,12/22/80,0.529018,0.53125,0.529018,0.529018,0.023809,9340800
7,12/23/80,0.551339,0.553571,0.551339,0.551339,0.024814,11737600
8,12/24/80,0.580357,0.582589,0.580357,0.580357,0.02612,12000800
9,12/26/80,0.633929,0.636161,0.633929,0.633929,0.028531,13893600
10,12/29/80,0.642857,0.645089,0.642857,0.642857,0.028932,23290400
11,12/30/80,0.629464,0.629464,0.627232,0.627232,0.028229,17220000
12,12/31/80,0.611607,0.611607,0.609375,0.609375,0.027425,8937600
13,01/02/81,0.616071,0.620536,0.616071,0.616071,0.027727,5415200
14,01/05/81,0.604911,0.604911,0.602679,0.602679,0.027124,8932000
15,01/06/81,0.578125,0.578125,0.575893,0.575893,0.025919,11289600
16,01/07/81,0.553571,0.553571,0.551339,0.551339,0.024814,13921600
17,01/08/81,0.542411,0.542411,0.540179,0.540179,0.024311,9956800
18,01/09/81,0.569196,0.571429,0.569196,0.569196,0.025617,5376000
19,01/12/81,0.569196,0.569196,0.564732,0.564732,0.025416,5924800
20,01/13/81,0.546875,0.546875,0.544643,0.544643,0.024512,5762400
21,01/14/81,0.546875,0.549107,0.546875,0.546875,0.024613,3572800
22,01/15/81,0.558036,0.5625,0.558036,0.558036,0.025115,3516800
23,01/16/81,0.555804,0.555804,0.553571,0.553571,0.024914,3348800
24,01/19/81,0.587054,0.589286,0.587054,0.587054,0.026421,10393600
25,01/20/81,0.571429,0.571429,0.569196,0.569196,0.025617,7520800
26,01/21/81,0.580357,0.584821,0.580357,0.580357,0.02612,3976000
27,01/22/81,0.587054,0.591518,0.587054,0.587054,0.026421,8887200
28,01/23/81,0.587054,0.589286,0.584821,0.584821,0.02632,2805600
29,01/26/81,0.578125,0.578125,0.575893,0.575893,0.025919,6160000
30,01/27/81,0.575893,0.575893,0.571429,0.571429,0.025718,5924800
31,01/28/81,0.555804,0.555804,0.553571,0.553571,0.024914,7039200
32,01/29/81,0.535714,0.535714,0.533482,0.533482,0.02401,10976000
33,01/30/81,0.508929,0.508929,0.504464,0.504464,0.022704,11547200
34,02/02/81,0.477679,0.477679,0.475446,0.475446,0.021398,5941600
35,02/03/81,0.493304,0.495536,0.493304,0.493304,0.022202,4788000
36,02/04/81,0.511161,0.513393,0.511161,0.511161,0.023005,6966400
37,02/05/81,0.511161,0.515625,0.511161,0.511161,0.023005,1982400
38,02/06/81,0.513393,0.515625,0.513393,0.513393,0.023106,3466400
39,02/09/81,0.491071,0.491071,0.486607,0.486607,0.0219,4188800
40,02/10/81,0.486607,0.488839,0.486607,0.486607,0.0219,4586400
41,02/11/81,0.473214,0.473214,0.470982,0.470982,0.021197,3460800
42,02/12/81,0.46875,0.46875,0.466518,0.466518,0.020996,3640000
