Index,Date,Open,High,Low,Close,Adj Close,Volume
0,11/16/17,1038.75,1051.76001,1038,1048.469971,1048.469971,1188400
1,11/17/17,1049.800049,1051,1033.72998,1035.890015,1035.890015,1335600
2,11/20/17,1036,1038.699951,1032.680054,1034.660034,1034.660034,876300
3,11/21/17,1040.040039,1050.390015,1039.140015,1050.300049,1050.300049,1110300
4,11/22/17,1051.160034,1055.430054,1047.25,1051.920044,1051.920044,726900
5,11/24/17,1054.390015,1060.069946,1051.920044,1056.52002,1056.52002,824600
6,11/27/17,1058.569946,1073.040039,1054.77002,1072.01001,1072.01001,1771500
7,11/28/17,1073.98999,1080,1054.540039,1063.290039,1063.290039,1821200
8,11/29/17,1056.180054,1058.77002,1029.650024,1037.380005,1037.380005,2793300
9,11/30/17,1039.939941,1044.140015,1030.069946,1036.170044,1036.170044,2254600
10,12/01/17,1030.410034,1037.23999,1016.900024,1025.069946,1025.069946,1888100
11,12/04/17,1027.800049,1031.339966,1009.219971,1011.869995,1011.869995,1938900
12,12/05/17,1010.98999,1036.680054,1002.320007,1019.599976,1019.599976,1949900
13,12/06/17,1016.52002,1039.579956,1015.309998,1032.719971,1032.719971,1435500
14,12/07/17,1036.069946,1048.920044,1035.359985,1044.569946,1044.569946,1543300
15,12/08/17,1051.810059,1056.420044,1045.859985,1049.380005,1049.380005,1558500
16,12/11/17,1051.109985,1056,1044.119995,1051.969971,1051.969971,1162700
17,12/12/17,1050,1062.5,1044.869995,1048.77002,1048.77002,1694100
18,12/13/17,1052.079956,1055.47998,1046.579956,1051.390015,1051.390015,1384000
19,12/14/17,1055.48999,1067.079956,1053.599976,1057.469971,1057.469971,1548100
20,12/15/17,1063.780029,1075.25,1060.089966,1072,1072,3188000
21,12/18/17,1076.449951,1086.48999,1070.369995,1085.089966,1085.089966,1514600
22,12/19/17,1083.02002,1084.969971,1072.27002,1079.780029,1079.780029,1317500
23,12/20/17,1080.920044,1081.22998,1068.599976,1073.560059,1073.560059,1436400
24,12/21/17,1075.390015,1077.52002,1069,1070.849976,1070.849976,1282000
25,12/22/17,1070,1071.719971,1067.640015,1068.859985,1068.859985,889400
26,12/26/17,1068.640015,1068.859985,1058.640015,1065.849976,1065.849976,918800
27,12/27/17,1066.599976,1068.27002,1058.380005,1060.199951,1060.199951,1116200
28,12/28/17,1062.25,1064.839966,1053.380005,1055.949951,1055.949951,994200
29,12/29/17,1055.48999,1058.050049,1052.699951,1053.400024,1053.400024,1180300
30,01/02/18,1053.02002,1075.97998,1053.02002,1073.209961,1073.209961,1588300
